,year,source,target
501,1974.0,Bulgaria,"Германов, Андрей"
502,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
503,1974.0,Bulgaria,"Германов, Андрей"
504,1968.0,L. I. Brezhnev (1964 - 1982),Bulgaria
505,1968.0,Bulgaria,"Германов, Андрей"
506,1972.0,L. I. Brezhnev (1964 - 1982),Bulgaria
507,1972.0,Bulgaria,"Германов, Андрей"
508,,,
509,,,
510,,,
511,,,
512,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
513,1974.0,Bulgaria,"Германов, Андрей"
514,1978.0,L. I. Brezhnev (1964 - 1982),Bulgaria
515,1978.0,Bulgaria,"Германов, Андрей"
516,,,
517,,,
518,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
519,1974.0,Bulgaria,"Германов, Андрей"
520,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
521,1974.0,Bulgaria,"Германов, Андрей"
522,1959.0,N. S. Khrushchev (1953 - 1964),Bulgaria
523,1959.0,Bulgaria,"Геров, Александр"
524,1984.0,K. U. Chernenko (1984 - 1985),Bulgaria
525,1984.0,Bulgaria,"Голев, Владимир"
526,1985.0,M. S. Gorbachev (1985 - 1991),Bulgaria
527,1985.0,Bulgaria,"Голев, Владимир"
528,1986.0,M. S. Gorbachev (1985 - 1991),Bulgaria
529,1986.0,Bulgaria,"Голев, Владимир"
530,1981.0,L. I. Brezhnev (1964 - 1982),Bulgaria
531,1981.0,Bulgaria,"Гончев, Кирил Христов"
532,1970.0,L. I. Brezhnev (1964 - 1982),Bulgaria
533,1970.0,Bulgaria,"Грозев, Кунчо"
534,1970.0,L. I. Brezhnev (1964 - 1982),Bulgaria
535,1970.0,Bulgaria,"Грубешлієва, Марія"
536,1980.0,L. I. Brezhnev (1964 - 1982),Bulgaria
537,1980.0,Bulgaria,"Гуляшки, Андрей"
538,1986.0,M. S. Gorbachev (1985 - 1991),Bulgaria
539,1986.0,Bulgaria,"Гуляшки, Андрей"
540,1986.0,M. S. Gorbachev (1985 - 1991),Bulgaria
541,1986.0,Bulgaria,"Гуляшки, Андрей"
542,1967.0,L. I. Brezhnev (1964 - 1982),Bulgaria
543,1967.0,Bulgaria,"Гуляшки, Андрей"
544,1967.0,L. I. Brezhnev (1964 - 1982),Bulgaria
545,1967.0,Bulgaria,"Гуляшки, Андрей"
546,1975.0,L. I. Brezhnev (1964 - 1982),Bulgaria
547,1975.0,Bulgaria,"Давидков, Іван"
548,1975.0,L. I. Brezhnev (1964 - 1982),Bulgaria
549,1975.0,Bulgaria,"Давидков, Іван"
550,1984.0,Y. V. Andropov (1982 - 1984),Bulgaria
551,1984.0,Bulgaria,"Давидков, Іван"
552,1972.0,L. I. Brezhnev (1964 - 1982),Bulgaria
553,1972.0,Bulgaria,"Давидков, Іван"
554,1959.0,N. S. Khrushchev (1953 - 1964),Bulgaria
555,1959.0,Bulgaria,"Давидков, Іван"
556,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
557,1974.0,Bulgaria,"Давидков, Іван"
558,,,
559,,,
560,1988.0,M. S. Gorbachev (1985 - 1991),Bulgaria
561,1988.0,Bulgaria,"Давидков, Іван"
562,1972.0,L. I. Brezhnev (1964 - 1982),Bulgaria
563,1972.0,Bulgaria,"Далчев, Атанас"
564,,,
565,,,
566,1973.0,L. I. Brezhnev (1964 - 1982),Bulgaria
567,1973.0,Bulgaria,"Дамянов, Дамян"
